meter_id,X2018_7_1_1h,X2018_7_1_2h,X2018_7_1_3h,X2018_7_1_4h,X2018_7_1_5h,X2018_7_1_6h,X2018_7_1_7h,X2018_7_1_8h,X2018_7_1_9h,X2018_7_1_10h,X2018_7_1_11h,X2018_7_1_12h,X2018_7_1_13h,X2018_7_1_14h,X2018_7_1_15h,X2018_7_1_16h,X2018_7_1_17h,X2018_7_1_18h,X2018_7_1_19h,X2018_7_1_20h,X2018_7_1_21h,X2018_7_1_22h,X2018_7_1_23h,X2018_7_1_24h,X2018_7_1_d,X2018_7_2_d,X2018_7_3_d,X2018_7_4_d,X2018_7_5_d,X2018_7_6_d,X2018_7_7_d,X2018_7_8_d,X2018_7_9_d,X2018_7_10_d,X2018_7_m,X2018_8_m,X2018_9_m,X2018_10_m,X2018_11_m
X5,6.79933236421754,6.608431532544752,6.502205951969751,6.443223233169004,6.41059872364057,6.392680249478134,6.382966713441488,6.377830958429611,6.375249284726996,6.374092609576961,6.373730983851348,6.373812940041049,6.374142383883151,6.374609908508029,6.375154472542294,6.375742019173265,6.376353547083872,6.376978454869524,6.37761082768869,6.37824736547391,6.3788862270185875,6.379526385058351,6.3801672664516005,6.380808551425451,156.50516438356163,158.0443287671233,159.58349315068494,161.1226575342466,162.66182191780825,164.2009863013699,165.74015068493156,167.27931506849322,168.81847945205487,170.35764383561653,5567.37153424658,7046.50850684933,8227.537191780835,9957.068356164382,11044.208013698611
X7,1.3085669009198002,1.3187783845460128,1.3273846733685135,1.334638096084305,1.3407513165651708,1.3459035689723435,1.3502459127419335,1.3539056615125966,1.3569901158476423,1.3595897091916571,1.3617806592982813,1.3636272028666316,1.365183478903912,1.3664951160327214,1.3676005702814922,1.3685322525808752,1.369317479023262,1.3699792717462018,1.3705370339208998,1.3710071186358568,1.3714033083548098,1.3717372190062516,1.372018640552073,1.372255824020496,50.58466959614019,45.32054332331103,42.69473867095492,41.43105983482363,40.87062609391824,40.67326723058177,40.663358471933684,40.75022738620794,40.88706115908728,41.04969103782494,1330.310627719886,1489.7462881468243,1615.6890208805241,1849.3443550355769,1963.687150156078
X10,2.245022733803415,2.3968402319357787,2.520654934458844,2.6216319677354005,2.703983748594667,2.771145711970226,2.8259196255079115,2.8705904697394495,2.9070217596633547,2.9367332842237657,2.9609645067126698,2.9807262709436815,2.99684297020229,3.009986938117099,3.02070649612171,3.029448827551533,3.0365786326046886,3.0423933423882357,3.047135526727752,3.051003013351691,3.0541571405883117,3.0567294878495055,3.058827364674304,3.060538287316212,95.17628474285867,87.60108002223146,85.77857056972414,85.51593415401655,85.67626536957201,85.95128644313239,86.25740626410735,86.57195867108057,86.88879761730472,87.2062565704576,2777.3397597236426,3067.781284011043,3259.506596894384,3668.5323495706843,3840.878595823071
X16,3.3143666136485352,3.4234034820445176,3.5105321053431533,3.5801544001649956,3.6357878275364515,3.680243102229925,3.7157661958347274,3.744151807844922,3.7668340375560296,3.784958837700648,3.7994419103291506,3.8110149699540186,3.820262711266671,3.8276523491116166,3.833557223137963,3.8382756596836556,3.842046043833493,3.8450588631221887,3.8474663313550277,3.849390078761279,3.850927297002656,3.852155649495267,3.8531371951245674,3.8539215235874424,121.35980060073517,116.89763876086045,115.07911545366821,114.51059710838969,114.53312492373111,114.83512008090511,115.26925719306459,115.76587565332319,116.29203748503195,116.83216845830368,3742.2889149550083,4255.350372198785,4623.765315050276,5300.431278906604,5635.133934446376
X18,2.495528592071995,2.500784629697173,2.5050138447966237,2.5084145181374278,2.5111466422122954,2.513339314755216,2.515096704559605,2.5165028652891976,2.517625619735787,2.5185196940217374,2.5192292465839077,2.519789908807486,2.520230431610773,2.5205740140723005,2.5208393754983196,2.5210416204726642,2.5211929368643573,2.52130315904904,2.5213802223716075,2.5214305298515223,2.5214592480768476,2.521470545960763,2.5214677873938838,2.521453686695166,65.47957534246576,66.08415068493152,66.68872602739727,67.29330136986302,67.89787671232877,68.50245205479452,69.10702739726027,69.71160273972602,70.31617808219177,70.92075342465752,2310.994369863013,2891.9912739725996,3351.887671232871,4035.2432465753345,4458.260547945195
X20,0.6252585209486883,0.8178414158508315,0.9352066496396254,1.0068256299084783,1.0506224248004545,1.0774981837696118,1.0940828224395245,1.1044085560697814,1.1109277175138885,1.1151317788379964,1.1179278309865208,1.1198675530690574,1.1212864680470445,1.1223886359541035,1.123298163042585,1.1240905288740624,1.1248116389859881,1.1254894124378383,1.12614082918291,1.1267762161741661,1.1274018541095348,1.12802156281531,1.128637665452562,1.129251574933015,15.555894816641441,60.670479920279234,21.433915747300006,57.37210082294216,26.313653688385354,54.96340342009191,30.400496703109866,53.261343422669434,33.85757604278916,52.12053631585266,1439.0244948362981,1945.1485714544663,2351.389621780224,2914.770287643487,3290.0923203186367
X26,1.0875093837847571,1.185516150048526,1.2587221774165656,1.313403324926187,1.3542473373725499,1.3847557196705824,1.4075439163901189,1.4245655304716291,1.437279803106088,1.446776712614743,1.4538704168956422,1.4591690501382764,1.4631268573893546,1.466083136399317,1.4682913251842464,1.469940728942639,1.4711727489477973,1.472093004698026,1.472780388541051,1.4732938290140223,1.473677342711587,1.4739638077722175,1.474177782478944,1.4743376106095298,33.44590694820407,33.40157045182836,33.35723395545266,33.31289745907695,33.268560962701244,33.22422446632554,33.17988796994983,33.135551473574125,33.09121497719842,33.04687848082271,1016.2066445796227,973.5992715625674,901.6249492638716,889.7589569161004,820.4891608963226
X30,4.798271184236978,4.52857958386209,4.307540063143574,4.126375838334368,3.9778934481987314,3.856197124304705,3.756454688613907,3.6747056828986953,3.607704111409678,3.5527895525997892,3.507781522157115,3.470892892834941,3.4406589332529527,3.4158791480236905,3.395569609858727,3.3789238909125023,3.3652810420704395,3.3540993487396396,3.344934821067195,3.3374235645003876,3.33126733067919,3.326221674932488,3.322086250149472,3.3186968516263637,126.06514760679674,118.30858293074019,117.06101628442231,117.47182745966496,118.30516403535766,119.24615262599197,120.2145690500977,121.18997360210184,122.16715860576201,123.14479723708118,4015.084385827234,4939.016469755363,5674.374613468773,6788.024398080099,7463.737124750776
X31,0.2669130478184774,0.3172194157725622,0.35671172607175067,0.38771461171419846,0.4120529933099301,0.43115949925041014,0.44615879440969136,0.4579337812113643,0.46717756984991093,0.47443427678583583,0.4801310530334351,0.48460322751998475,0.48811404552807736,0.49087016408360734,0.4930338163933047,0.4947323613662217,0.4960657803319635,0.49711256223444483,0.4979343237209051,0.4985794360781485,0.49908587250809205,0.49948344334159767,0.49979555076181614,0.5000405663251977,11.176273972602742,11.268547945205482,11.360821917808222,11.453095890410962,11.545369863013702,11.637643835616442,11.729917808219183,11.822191780821923,11.914465753424663,12.006739726027403,389.3718904109591,478.04717808219243,547.0569863013709,652.5372602739741,715.9183561643854
X32,0.23152045782593045,0.3306603032849633,0.39287541628705713,0.43191844956939957,0.45641986689921776,0.4717957073680835,0.4814448010079152,0.48750008027923486,0.4913000648604098,0.49368474146575814,0.49518124293586085,0.49612037096898565,0.4967097198471664,0.497079565158947,0.49731166122243375,0.49745731287995154,0.4975487164350958,0.49760607664668144,0.4976420729913308,0.4976646624621903,0.4976788384625228,0.49768773459765914,0.4976933173585585,0.4976968208146977,11.385366776889732,11.37311684981777,11.360866922745807,11.348616995673844,11.33636706860188,11.324117141529918,11.311867214457955,11.299617287385992,11.287367360314029,11.275117433242066,347.250153995119,335.47797407896263,313.4474206765371,312.3133619858807,291.0300541348449
